Frame,Cell_99,Cell_100,Cell_104,Cell_106,Cell_109,Cell_110,Cell_111,Cell_112,Cell_113,Cell_114,Cell_116,Cell_118,Cell_119,Cell_120,Cell_121,Cell_122,Cell_123,Cell_126,Cell_127,Cell_129,Cell_130,Cell_131,Cell_133,Cell_134,Cell_135,Cell_136,Cell_137,Cell_138,Cell_140,Cell_141,Cell_142,Cell_143,Cell_145,Cell_147,Cell_148,Cell_152,Cell_153,Cell_154,Cell_155,Cell_156,Cell_157,Cell_158,Cell_159,Cell_160,Cell_164,Cell_165,Cell_166,Cell_167,Cell_168,Cell_172,Cell_173,Cell_174,Cell_177,Cell_178,Cell_179,Cell_180,Cell_182,Cell_183,Cell_185,Cell_186,Cell_187,Cell_188,Cell_189,Cell_190,Cell_193,Cell_196,Cell_197,Cell_198,Cell_199,Cell_200,Cell_201,Cell_203,Cell_204,Cell_206,Cell_208,Cell_209,Cell_212,Cell_213,Cell_214,Cell_217,Cell_218,Cell_219,Cell_220,Cell_222,Cell_223,Cell_224,Cell_225,Cell_226,Cell_227,Cell_230,Cell_231,Cell_233,Cell_234,Cell_236,Cell_237,Cell_238,Cell_239,Cell_240,Cell_243,Cell_245,Cell_246,Cell_247,Cell_248,Cell_249,Cell_250,Cell_251,Cell_252,Cell_253,Cell_254,Cell_255,Cell_257,Cell_258,Cell_259,Cell_263,Cell_264,Cell_266,Cell_267,Cell_268,Cell_270,Cell_271,Cell_272,Cell_275,Cell_276,Cell_277,Cell_278,Cell_279,Cell_280,Cell_281,Cell_282,Cell_283,Cell_284,Cell_285,Cell_286
0,0.17552301293803613,0.04023755358344369,0.3131181891322873,1.3187125405340074,2.1619777281045924,1.7727679915997385,-0.06533764521660064,-0.3120028982166088,0.7095403805896904,-0.4556096414005839,2.622939701736489,0.4782628347583712,0.4770595398345582,1.227430569912261,1.5975095271020674,2.0524830061609207,1.1380235821197655,0.7740541076315656,2.351476694721667,-0.34766642635605255,1.0682271705669417,1.533111063968855,0.4432368773426116,-0.22719667968287965,0.3948464535777734,0.09321470997969768,0.10096096656890294,1.4421223328175956,1.7663064992696962,1.791485230419247,0.2504325158518388,0.4139380508988282,0.3571829267833542,2.537983222159233,0.874462599464776,0.3225656162411827,1.5494178750845429,1.066096264322162,-0.03777011734274606,0.4543165708491568,-0.21549738558394013,2.4916219846549805,0.5416021355419206,-0.19889532418316788,0.5457606525627677,-0.2658461418312465,0.5192208413838129,0.07808878522079421,0.8019549971568599,1.2000301951619452,-0.5395715810336942,1.3593819106900564,0.8712803947805777,1.2089513373055958,-0.04247894775539809,0.4222458830711039,1.5604075303770022,0.5642615165132372,1.8013629889695815,-0.6868073275266767,0.4956873698129445,2.6548269551451873,-0.028070554744788548,-0.14807600891829123,1.4478347429629796,-0.02015721115159556,0.2257528073071057,-0.10470739200410104,-0.13931186114804991,0.5853069613505186,-0.02137137119927922,0.4552258828376125,-0.12438254233681127,0.8735240208164524,0.9764725224328747,-0.28869489837157136,0.9597851423938379,0.008377037592466356,-0.3044731475908007,-0.10002985882244099,1.272785270705884,0.7782597118518372,-0.062124377581071304,1.5062401231455564,2.078052116442548,0.1388688723516099,-0.1245610517942715,1.6134009576693715,0.607121024818986,0.05186777498908397,-0.33655387321476965,2.4029577434623377,4.39306302186664,6.831474531612434,1.065110434176967,-0.42226426399102474,1.127684340297704,1.4707783775516157,-0.10736952074174012,-0.27373092497010093,-0.19687120885394527,-0.20481109044006285,0.3092675281101038,-0.1959079582141587,4.653042704840201,0.5523605992447983,1.6191683940982808,-0.21516218215393013,0.4278233981418008,0.17238319249490666,2.0269802866313014,-0.004190732984587768,-0.11187788146015341,2.145215495133622,-0.04101882237467032,1.1710321607799643,2.077016219296282,-0.007286437325561723,0.5665970891487584,9.038548039441565,2.708945351147498,0.490511451721308,0.6114761062358881,0.3422913139728735,0.4100510835255124,1.9730723322988777,0.34257662046095827,4.2177126412467185,0.8658117460554118,0.2121327486304705,1.0760694254414975,2.3138508610206725,5.586571811944607
1,0.8602690860771831,0.06440557366429217,0.4494729667965814,1.1522715275346584,1.3961365217215134,1.2088685220789683,0.4327253490069756,-0.41251233164220796,0.4296901468143283,-0.5117382456592143,2.4041157016116332,0.6207013446834155,1.1881725386322841,0.4992853276201949,0.9851832861929297,0.5013946884567542,1.4229843916665088,0.5837213705617512,2.5556169223428125,-0.3490846529312548,1.4725162756218602,2.1050151078187977,0.6511075141027227,-0.05430428246188327,0.8774763746025109,0.8283344487983497,0.008944548404549849,1.408680205170177,1.8988284114868041,1.7041660443259765,0.10911923851736766,0.44458467072770785,0.25950802369899606,2.547242243655965,0.3571186624867257,0.8399637999889851,0.8534521262341171,0.8890758636865276,0.1318405027820064,0.30305818880991786,-0.014474247799768884,2.757164656498055,1.677181551267483,-0.29758077069656835,0.8510133986173019,-0.21546371522164792,0.6403288354865999,-0.09376733653152516,1.2395819230456795,1.0869464340295363,-0.4555267571276109,1.8924710202757888,1.2829056259641525,1.4092381241604943,-0.07733734255765626,2.883630377942365,1.566847884275808,0.591446668308619,1.786140337354102,-0.7414173706124612,0.585418764347782,2.654783614021287,-0.1046029543948575,-0.2658083754833281,1.5484540319685622,0.14038953402731524,0.1468655028623933,-0.037692712219772405,-0.04669867935026701,0.7149016157558139,-0.0590863141390419,2.6935942019452632,-0.016209923710145818,0.7896775703161902,1.0423217700554661,-0.5577033732916072,1.9622985709942231,0.06866850435825088,0.3309132179138042,0.06101853630089843,1.8854822901578963,1.3113800259232122,0.02951455253509053,1.8663589215499377,3.29239100502233,0.3916933081587853,-0.0745710756575331,1.1980602898149177,0.40839893209399586,0.324971884638415,-0.20420141611474113,2.001394808421323,3.5500829945738475,5.159347814279676,1.505570661266616,-0.44542347973654456,1.3037916040842654,1.0482356477671027,0.14086971662386294,-0.13847772611582712,-0.20325662354908675,-0.19970192194642897,0.188122293206693,0.06803088518713996,5.25097657423767,0.837172240827919,2.081843677600293,0.053252823695434236,0.34551713073029866,0.4035349905075409,1.187984950394222,-0.17098447677300718,-0.02700339801015311,0.978081087570107,0.568303504826527,2.888075539137858,2.253622377337756,-0.06741196435178631,0.8424887042825439,10.313229719883465,4.245004137243123,1.3395983505268743,0.8911701892414048,0.38731320960301185,0.5252471669194185,1.301195772477701,0.4672972750303801,4.045339800325047,0.4123838227396304,0.02637119793469877,0.4861808305319716,3.566023239115938,6.136838907314109
2,1.3273776122989696,0.022433930504425978,0.5523694679388297,0.7206196178354124,1.1859277817921505,0.13930482227036237,1.2917571708749263,-0.38547628207911117,0.376390323535683,-0.4783443573286007,2.596195019104358,0.5042525142189915,1.6354223427982049,-0.1325015950520626,0.857717069629011,-0.10488120018595835,1.6763069879909371,0.5761307651220148,1.6164248657319507,-0.30150230715073206,1.194509063451544,1.3754536645777542,0.8914453341363868,0.1950539478117019,1.4583551050266481,1.2297032020287137,0.015314325475143067,1.4286066378039537,1.502193393387431,1.40501166170709,0.39410207586381113,0.5382734942512748,0.40546191331368014,1.9886096752083398,-0.020226278592250582,1.2058042073581872,0.36829131342864563,0.361477171512815,0.6839770231856327,0.20549077377820738,-0.10996710765575368,2.1958696800652526,2.9680106152181316,-0.3795323646396384,1.478237955912552,-0.20084371123076408,0.48098052140680025,0.007035130726155928,1.4536387677921887,1.0458044974336165,-0.3203537124561672,1.4407606988014883,1.5398232351211523,1.3117091243028143,-0.15507767001603479,3.3280725680391523,1.3358321181807655,0.8026776212759834,1.2985584187654629,-0.6942335688749923,0.39708951874229764,2.334655237612294,-0.3114686493422778,-0.17512140346321947,1.217951230340479,0.6164907364235866,0.18917986305413434,0.18647335115236777,0.6216197976999047,0.7878946434747084,0.3683711958409125,4.1269752523320475,-0.1412804402513466,1.201890119984921,0.994110198701475,-0.5710182073313091,2.6238573021181715,0.19854159191644846,0.5754394524776132,0.12417064667480684,1.534931035304708,1.4681296336640857,0.43492892145491985,1.8427880923662927,3.9112200577663003,0.675033214547037,0.0273974817468683,0.810631335773042,0.26599681482091164,0.6897824548561686,-0.10136471327010411,1.3068150178835323,1.6253290077737657,4.313753101498651,2.2267017471675747,-0.3633619146782903,1.376400079816731,0.5818898251889365,0.43145431593609906,0.17669177089899704,-0.055672252611721366,0.012635466447199813,0.24137437311363902,0.7963523317334249,5.632561689443383,0.676660549429932,2.712278990367028,0.27228922615269197,0.45369087382039347,1.089458576045146,0.4190675852204729,-0.1280286602429114,0.34984933351207387,0.13471863641441603,1.6549187776180962,5.612721299834847,1.7027055902643515,-0.04036118711657826,0.7187497655322682,10.178440231241453,6.239187707772999,1.9544661822328464,0.6565315053187777,0.30550591788113185,0.7936837032822635,0.9180798194405257,0.3877095734382402,3.9495303340337733,0.73891247890971,-0.03790073099801521,0.18940451056966606,4.398417127293255,5.630496974606951
3,1.6308907522327039,0.4454728959371782,0.4838268980095322,0.34459287700185437,1.006158874654745,-0.19278010661796163,1.2334752062789955,-0.39567093864194,0.4778928256711204,-0.5403903697960257,2.006435749624368,0.430471957512524,1.596854009373973,-0.31187259430208597,1.2577056548835932,-0.20889124361814862,1.364023530955842,0.5171214323201371,0.863626303339188,-0.3715610116007557,0.4644663279460278,0.43277737324626026,0.8848174577993838,0.36588664556120487,1.5540510278727435,1.0684622222158013,0.009481758518937239,0.6367709280688666,1.453944943654299,0.9334880568034286,0.3919899125628077,0.62933887171945,0.8261805887601698,0.9483944116002943,-0.2187745265950112,1.017584988903327,-0.05445643527715292,0.13015728049178762,2.0634489471486113,0.3625422091276938,-0.18420520943614271,1.4252956307292384,3.1946151098131392,-0.38120977568317593,1.6176370560945403,-0.26168648926978405,0.29106302804228107,0.18078787435889462,2.2401686027095575,0.42013112269643615,-0.1378487574325355,0.375915698616111,1.2230544357416198,0.9954298322736673,-0.09903343890760948,2.863438283998405,1.2659773766943971,1.6522019972954258,0.4815823345969814,-0.58818321986429,0.09506982200722301,1.4525550134303309,-0.34769291749995496,0.318471889690571,1.1219276172374266,1.2335390282709815,0.17475356811747264,0.1967474525259727,1.2935959673601545,0.6979547258662486,0.7073071143921086,3.6612406549295406,-0.29084557602603794,1.1985102630655309,1.1498640038534649,-0.5237082920805095,3.256977804803892,0.09059618983368375,0.6702243600792328,0.28041779922254917,1.0031660522917425,0.7277116493808578,1.0692316569734113,1.165683509505832,3.244196078624708,0.6086293690826724,0.22650050766017157,0.7269346755583944,0.565516321046235,0.733794143434093,-0.13518924434773738,0.4890048403332547,2.692304368647134,6.911474319657373,2.9188021900940133,-0.29027905224042666,1.49537496074904,0.6088720760394434,0.8472293562007576,0.32426800387385624,0.1456513712507408,0.33082168569709447,0.3458068619823672,1.7225396805911883,5.973881897618961,0.7405443406215431,4.793951957078405,0.3790335695812065,0.7254999197794666,1.993407849083454,0.03988606922769205,0.6399175351162693,1.1539654137354214,-0.04021049266170388,2.5742720526590483,6.258734312544378,1.1495706058324344,0.09400195051092419,0.666401561817699,9.51308890726366,4.958342576684733,2.0672029954408653,0.48791927562207565,0.36079232636633946,1.1366398257126487,0.7438529481976603,0.5818417746287406,3.8513404437671617,0.944452474010829,-0.08414516766911476,0.10536366354665955,4.549055239375174,4.561305349502519
4,1.8766341561451525,1.4064247791235642,0.2621119998892923,-0.053373293426511335,0.7623700862377512,-0.12165634440685955,0.9737267558130176,-0.34291621070154504,0.5569923098087111,-0.6252046880204674,1.552911197721949,0.5103393724810728,1.2335799821130966,-0.4095985557702082,1.3592734982358605,-0.11605336672767566,0.7063780279866662,1.5846773971508965,0.8192797750185284,-0.2561021730945536,-0.17700926280514634,0.09567520769667383,1.300585619256065,0.4655597855302238,2.437230342027081,0.519704000251386,0.12191216103001083,-0.004239723056134716,0.8674061122148745,0.698487424888266,0.19206675709697488,0.3939243374308115,1.1038945718455822,0.8614484961373827,-0.19029110665267715,0.9028226184575403,-0.0594652192592532,0.16890659708015746,2.2942653953413177,0.5217555170797501,-0.2233042663067635,1.2315266253703443,1.7597015407272545,-0.34083113704314033,1.2311125187894774,-0.21113529394050792,0.21277719486372276,0.2621094473095975,2.1947144675205115,0.2378864538497391,0.01242567464552511,-0.25627727060113575,0.8769055066435977,0.43819002243530586,-0.0011960977561815513,1.8211769106184479,0.8917357487468482,3.23549312006543,0.33744357838445455,-0.5327241400389877,-0.15323020889157526,0.818647735263747,-0.3474226618380988,0.3833167160961854,1.0397387228183113,1.582753763803453,0.26545214170197035,0.38738499229177614,1.487102753156025,0.5801866084179854,0.8423717391080107,2.867729712607168,-0.36702788299810735,0.817236403658912,1.1849374533099128,-0.4423657361431827,2.9051383399209487,0.46893577890980326,0.6551096874444803,1.0479577546726253,0.6048576047650631,0.3592081317022397,1.449394614080135,0.7948393602559831,6.114234582447977,0.5916471536988959,0.4999256294016077,0.4839385788371228,0.8994566976261389,1.3997373197113294,0.26933779881852554,0.11125538112270025,3.4856316769224676,8.960033223955689,2.6177076388079903,-0.14543523960517737,1.1130435387892297,0.6435700315669998,1.47683802724938,0.5962910827049372,0.5910107757751389,0.28553941062153754,0.3517177763304941,1.876259774376097,6.429326073630691,0.5972069171498997,5.352908181929034,0.42310053037734957,1.373667245226878,3.1130816073765435,-0.07330730041002079,1.1845159807849748,1.6477726422297476,-0.10551728522237083,2.402976437748428,5.943060420140578,1.2713069049024197,0.3942184709273378,0.7153359153545227,10.096677687632228,5.874786458341768,2.3049246078933243,0.7360367542654965,0.33521170384921534,1.001793896298216,0.7238394930445536,0.8474065930670838,3.714237378165692,0.6469367542328914,-0.11085720837675986,0.12801051983001532,4.3947673615434075,5.329020987873111
5,1.623294242447895,1.8467401619242172,0.40078471651760217,0.013433842856151188,0.462631433221456,0.269857921679743,0.4498809462735641,-0.2822572556463577,0.6338942226985566,-0.5885749794962085,0.932108232963921,0.5295340690798148,0.5003134793212243,-0.3835306660288578,1.31149998175512,-0.16679929469808982,0.47210287062979445,2.0378772058608616,1.4524361148055271,-0.24441446658641305,-0.2917926368131777,-0.07650232494137492,1.3406889764838108,0.541886945747108,2.787199737246764,0.09997612555717575,0.031929466870124164,-0.1560048017421261,0.38526908314294966,0.5694905614853455,-0.04859249258620055,-0.08576879887907313,1.1067684704459055,0.7535253415714754,-0.1367941345253749,1.2691691115070487,-0.1103506361474689,0.16433687042187906,1.2551808977865193,1.1154822602091086,-0.18003507439165325,1.0388517981731278,0.6986900745835721,-0.1709295272653101,0.8857625736975872,-0.031168273333847266,0.4406223561828612,0.6707987621627628,1.7912593755923205,0.1735633540983351,0.18049245311785334,-0.31403636167534704,0.5439602492095011,0.0026701442141047072,0.1227729861100789,0.5100537044420843,0.4779715439620731,2.3230711321570143,0.587339092117959,-0.45556368115161083,-0.08088206435370496,0.3324470073495712,-0.275534655784372,0.33364707521453635,1.0347571835617009,1.0802417209715098,0.27711374322858007,0.20068762336203566,1.3084561871523883,0.6710896720286271,1.0208633476943816,1.9648215111015714,-0.3312049912186333,1.2155612079088656,1.4546511258981085,-0.11933922366066664,2.967791628661194,1.337483537047819,0.9602537143645079,1.6265460351549084,0.39561491942551164,0.5237259005455319,1.1695778382629052,1.1622271672067943,7.593318068906844,1.0391080776869444,0.663427773214944,0.30089622768570046,1.1041839636701,1.8918632811640397,0.532979234312212,0.15951146901972552,7.444058776721191,9.422267468739939,2.6688660141329965,0.26255494734239837,0.5900003248355327,0.7525818080493201,1.7682061550515826,1.0087177567022294,1.5934278010654765,0.26754061399929446,0.3281596466375576,1.7880141904913887,7.0834505222418525,1.234267883213253,5.253920253627607,0.8856462367340084,1.5725412406470152,5.851016331262031,-0.17164550787887978,1.4472763851071502,1.5745085125108556,0.2849162355982197,2.173015050967742,6.36656188417013,1.9108345713180976,0.42742454902999777,0.5835012747541655,9.758902831105551,5.721230777202577,1.7512530155750399,1.3168542398919947,0.6331637330378579,1.0260904601566725,0.5399683152846197,0.9769353360383924,3.630849774977171,0.6512384887713696,-0.1019890258480647,0.20165952357221162,4.524240243272237,4.651155725461404
6,0.8663536691572482,1.5276745069868032,0.6926720454638934,0.15873449494614036,0.5336408268559347,0.6404295465280031,0.012307317226996583,-0.3464042503184894,0.8010404453395575,-0.5736946852493064,0.4062453445098205,0.4722211759388302,0.11427781266244094,-0.38143149481981803,1.0702184613858812,-0.16123938801238052,0.4148938181745377,1.238067987595798,1.572232656832188,-0.27408326003015426,-0.028394844174395483,-0.10422388239408761,0.7976467678011583,0.827349056657642,2.50396369228013,1.3814702539251065,0.014572463888608132,-0.11890556418809159,0.36744892526826417,0.32136332823971414,-0.07136989180204668,-0.23125080740527276,1.2289154358474297,1.3228440553625287,-0.11613698224457232,1.8147592446224676,-0.16485173574038564,0.12766112872576033,0.36924990232664645,1.3012808616879823,-0.1892158368151805,0.9102140241957054,0.2482359178070491,0.025367822693626946,0.6160378411636883,0.11417137702369412,0.4185692224604747,0.7324830476979073,1.2080456346520088,0.23485048252609267,0.24621893581338594,-0.09430239878302579,0.4658632415985544,-0.1709913815044293,0.2812147563990428,0.14674156589732656,0.7643960931780617,1.5898620295458452,0.6723535342697524,-0.33255523833027306,0.15773087218101978,0.4211554526926215,-0.1003088922120326,0.12980324900959536,0.9624663345062424,0.7230106045093815,0.4256339047033049,0.04247705406560506,1.0353034821975984,0.6065140923939236,1.1937976433210815,2.548071613661502,-0.0678226545245138,1.347332296266125,1.203325055307023,0.1724302933695507,2.4855579203405287,2.071087725781466,0.6709005428023666,2.471466600874457,0.35761668332887003,0.7691931895453317,0.8664228687459523,1.5017326251988732,8.234261993620494,1.4687384329803406,0.7603035613816118,0.3884281831347059,1.199523581592446,2.0913925877367223,0.6134364626334938,0.26704022188430326,10.389159936484848,7.882758383153811,2.577331188515142,0.8510204904981121,0.4092757559773605,1.4353648831702992,1.8661820397858357,1.268970758071982,1.9395433404592657,0.14390911039953522,0.5529264411100607,2.023397125075187,8.847564273609057,1.7917544536861927,5.10905987074747,0.9335428262660072,1.5010209886086845,5.135878057441447,-0.07313427855447671,1.6338467570427373,1.508028746116768,1.0106604188744714,2.135567210459878,6.370436376546805,2.6790431225706666,0.5782608248788352,0.6560699756753797,9.615154665821477,6.058055803394321,1.638465229773529,0.9882131468075694,1.0996160141149727,0.9876107771458421,0.4374009852644369,1.2361666083087883,3.5269583015207173,1.1050885982354899,0.08605675368085565,0.3245267888694579,4.3769747535129,4.907491328894403
7,0.9569125473322174,0.8826250444711292,0.9969909077594832,0.27896936120951027,0.6674883001641014,1.0518712288621697,-0.08617851893304894,-0.306269339532962,1.068830198814794,-0.3384315229348553,0.26256893672506043,0.44811480658405206,0.015977068468806744,-0.3671380472237189,1.1135570685811005,-0.13731922450295903,0.6974855156044404,0.8920431224328226,1.175489608820573,-0.27667912117226556,0.11496254613436127,-0.07483960484596917,0.3898374355361723,1.025532931943451,1.6422375826702296,1.6416438908334783,0.08287489271786089,-0.18626813358515676,0.4791847898251365,0.4179027310224387,0.16680570857241117,-0.18237918732796074,1.229505275298151,1.5798300488086228,0.1369345815536491,1.8293910747324815,0.05563046872009062,0.1733878774160177,-0.00859441308418778,1.2983766823864775,-0.11596369719647312,0.6569615151383418,0.3822645034896278,0.42802698887272617,0.688573661241624,0.09817805894131715,0.3327797407444765,0.4409435452156643,1.0483604559854862,0.7277885581727894,0.2958454032626924,0.25536424029549504,0.31442500276994123,-0.054912307006678596,0.7749094288422282,0.08154730189870966,1.5589401079696796,1.5303799880106508,0.7036587430118153,-0.4972004428575633,0.124784047371497,0.8388555342822874,-0.07824802262940735,0.2451014113239181,0.9585643455323961,0.4859338992480304,0.6441985091442758,0.10194503567602285,1.1602892681476722,0.38959121395818036,1.0163762365343687,4.642371358689725,0.4810966784631487,3.047421992468986,0.7405343509248606,0.17483034384948568,2.216377825073477,1.3479252920361204,0.3851404206121709,4.293590726662806,0.4891382532869877,1.1634108609015028,0.8527236135974213,1.6790750542948616,6.706455359299762,1.8943542592133438,0.868189431614618,0.3582845583830701,1.8272140230985423,1.6348987209971657,0.4868318547321845,0.30793407723115807,10.17056555131081,8.06676186981455,4.834675910205154,1.3039986128505323,0.5408805517872917,1.9524041726894346,2.173429678318026,1.7555726182181834,1.8834149867978913,0.16771731688255995,0.7353570242949347,2.3032481003645824,8.767334943929614,1.7504792793880752,4.987586879648823,1.0322475723826061,1.274602179081402,3.2588310289349733,0.19325758546352756,1.537880096508981,1.3912607608511929,1.856278765756552,1.4882545388239423,6.38268814973791,3.9260617839190863,0.8431728691695941,0.634393902788553,8.910799181789791,4.245214642764035,1.7956647081054429,1.1462271013244567,1.1821515469823853,0.967171292799916,0.31928644284815183,2.077755864966736,3.403966264506684,1.6785771337896491,0.5378772168776743,0.396561800603463,4.294829441671115,4.789766829539989
8,0.959964057937523,0.2707440275937194,1.075351083184794,0.2701146813388995,0.7387171712396758,0.9128724244104566,0.08897801118384921,-0.2932602990731994,0.9240651928695789,-0.23480690047053746,0.4172269807736236,0.494896229613168,0.0703617488622799,-0.36267253756085216,0.9586440030950802,-0.1257596445010324,1.3849117589155913,0.6511600029311934,0.5850472603226493,-0.3584804039919702,0.4872664732526534,0.10734291595236584,0.1493517318519874,1.0027253290828748,1.1430960094352296,0.6387114157761306,0.09510281817867858,-0.0770530802431695,0.7288531437811249,0.5575272585222377,0.3790621994943546,-0.08867048921306564,1.124626801049663,1.3795981535288964,0.28717794892685106,1.7026463815618103,0.3764159651533259,0.37615598524453264,-0.25079064895523207,1.1322874716612936,-0.08265110678293468,0.5664099830310282,0.6688972650607052,0.8417704872275215,0.8724314557269287,0.14157147504191922,0.25205968824871317,0.21709382363805046,1.0443529825891527,1.8330178747953907,0.09594450373532547,0.3773987174882752,0.036411519547263675,0.2570904604414551,0.5033586762488416,0.11913952922163858,2.0319881780102946,1.8705429130400435,0.6555969971479801,-0.5837003058796361,0.12890507646560567,1.5675931915428467,0.04375739449519242,0.4206372232181129,0.4476249026670529,0.189839100217544,1.0369637430207084,0.0559657840648689,0.5066420525999141,0.5305554709380771,0.7310965399387279,4.026440555918097,0.6533770212704942,3.520688624181577,0.5851987735830012,-0.12987465651859717,1.4973548190939494,0.9215149568471913,0.7969887329396448,4.492151895895042,0.527150510872964,0.9023962466358144,0.5684899494703375,1.4112085261194365,3.76920595636609,2.15901019387398,1.0285712437997556,0.2724842579729885,1.9659203417554931,1.4191429997672014,0.5957497989096808,0.21566522456147866,9.962449006045462,8.513655867114773,4.167553593603221,1.1426909841293276,1.0741676862893108,1.9560272979965672,2.595821181386846,1.7262659152775601,1.1418132964315522,0.18151466530191634,0.7990751604753057,2.3167818518836767,8.616191300376205,1.4645807680115246,4.965443238629436,0.9324673825799106,1.1628914397397938,1.6749293934282163,0.3446146329526714,1.1627026371247842,1.3122963671016665,2.0334699626403916,1.049986713676976,6.470410247409027,4.085726205254482,0.6417951780811907,0.6321430125614681,9.042091745737316,4.460885645304676,1.669769683977202,1.4983924373268775,1.7334900127257837,1.0922682259661427,0.5050066190672537,3.4899242549072103,3.3065611865114164,2.1896505820083276,1.59667102760289,0.8838854507398312,4.482847806473729,4.647206258386289
9,0.5271289433783448,0.11320813398762465,0.9846746947566527,0.4474479993567498,0.579224603083489,0.6221699999081465,0.3056750904022316,-0.17126873324281391,0.8154162239185574,-0.25118194210792966,0.5568810450431535,0.6171004557610456,0.15519663768692307,-0.05460962094692977,0.556540883033478,0.06943391564019535,2.0507824187411225,0.45481662461194494,0.5781516188310304,-0.389491447587242,0.10075675611818659,0.21127725570915,0.0689299139048275,0.5885544335744881,1.009465088156696,-0.20395167177083715,0.13769590581939237,0.0032937240539511613,0.888539628134505,0.6301544170869859,0.3631732122501226,-0.03971937077043867,1.2042300273459605,1.369079905108609,0.1346467566586824,1.4772596353503824,0.8972231556827895,0.6434800810692438,-0.267096204885015,1.1534432125809506,-0.03786256333998713,0.39566292828601596,0.8057692127428441,0.8632279292964535,0.6102614560644253,0.38275190303277407,0.19966814221051685,0.04865844569704239,0.867536757737402,2.1784274902678193,0.3232428723890836,0.3123368819678012,0.03970476685615897,0.5874078339697333,0.46252180156348516,0.3185463809486845,1.2932062146969416,2.2443503678127805,0.4888218093728928,-0.5218904312427407,0.2032976795930207,2.8011682599947343,0.42289605967245014,0.3114305086141144,0.4406663556636937,0.49690848908566976,0.9830834022774426,0.15596350681559548,-0.029024330741793013,0.6070382230090648,0.7605722184208809,1.7432401321768147,0.46300924675135097,3.6077199398558797,0.35440913063417784,0.41168039590691863,2.1940610114523156,0.5742428116251536,1.9218650975691898,4.384828353825644,0.5035102798549057,0.9262728891177526,0.3574340026018231,2.50266441232382,3.527470685469473,1.6671470635613566,1.1979745329203069,0.27637086150479523,1.9757971138409862,2.1320628625897173,0.7613233051230129,0.29260724764943996,10.27264347619442,9.008955101294646,2.7067514679528966,0.6660214475969094,1.4635758823538512,2.101576987058969,2.5789840247246776,1.2445300737328207,0.800705560399259,0.2022625576618508,0.793895983112397,2.2557265261529773,8.979627158980275,1.4398544802109912,8.358956224850628,1.0431987367471238,1.1328306179898193,1.1807462111167908,0.34502247018359655,0.8022401460329038,1.4578804110251735,1.677597011231336,1.492489083364268,6.354055800668586,4.220069598485927,0.46284893361410945,0.5300201229586302,8.449450725524157,4.1735779947244085,2.1215980344967944,1.6283649705546888,2.2520714542837403,1.1749676551993635,0.8309642136331079,2.937438209305678,3.265818515020839,2.3400173134355606,2.0991207510544405,1.5464206754075185,4.623820008561601,4.380996987265501
