cell_number,x_position,y_position
1,309.99003322259136,67.21926910299004
2,326.10574018126886,71.45921450151057
3,246.89005235602093,76.1282722513089
4,338.9004524886878,80.7420814479638
5,270.6659482758621,81.84913793103448
6,353.5804195804196,79.84615384615384
7,192.30543933054392,77.54811715481172
8,232.23857868020303,80.35532994923858
9,214.6443661971831,82.1725352112676
10,301.0403458213257,84.19596541786744
11,168.38490566037737,85.52452830188679
12,327.6868686868687,83.92929292929293
13,285.69436997319036,94.06166219839142
14,365.17028985507244,91.72101449275362
15,183.05277777777778,92.35833333333333
16,204.27450980392157,94.61437908496733
17,224.96043165467626,95.88129496402878
18,259.8803680981595,95.66564417177914
19,320.875,92.02272727272727
20,346.34275618374556,96.06360424028269
21,149.1264367816092,98.01532567049809
22,241.88643533123027,98.61198738170347
23,333.90513833992094,105.95256916996047
24,372.77884615384613,102.28365384615384
25,160.04098360655738,100.26229508196721
26,304.41917808219176,105.53698630136986
27,320.65250965250965,105.35135135135135
28,197.931654676259,107.85251798561151
29,350.8160377358491,112.14150943396227
30,165.24931506849316,113.3013698630137
31,182.8276923076923,111.85846153846154
32,218.36727272727273,112.16
33,271.7836879432624,114.17021276595744
34,377.7654320987654,114.66913580246914
35,137.775956284153,114.48087431693989
36,254.94247787610618,110.76991150442478
37,287.9559322033898,113.07796610169491
38,232.30985915492957,116.94366197183099
39,394.6473029045643,115.39419087136929
40,203.68197879858658,122.2826855123675
41,244.80797101449275,125.44565217391305
42,317.6106870229008,120.91221374045801
43,356.99679487179486,125.26923076923077
44,151.40652818991097,126.92581602373888
45,259.3388429752066,125.57438016528926
46,301.088,128.216
47,328.45387453874537,128.76383763837637
48,284.3252595155709,129.42214532871972
49,125.35625,130.090625
50,173.45,130.925
51,219.17081850533808,132.51601423487546
52,381.56610169491523,131.43050847457627
53,194.86196319018404,134.59815950920245
54,335.64604810996565,138.0996563573883
55,269.0979591836735,136.80816326530612
56,235.13278008298755,138.4232365145228
57,310.1186440677966,140.20677966101695
58,357.78521126760563,137.7394366197183
59,106.77777777777777,142.75862068965517
60,130.1306990881459,143.53799392097264
61,151.02622950819674,142.9016393442623
62,251.25951557093427,144.69204152249134
63,290.5065274151436,147.33942558746736
64,208.53846153846155,147.0854700854701
65,382.47978436657684,146.24528301886792
66,183.17747440273038,146.8532423208191
67,361.7130434782609,148.43478260869566
68,227.90987124463518,151.09442060085837
69,163.21235521235522,151.01930501930502
70,268.844512195122,151.85060975609755
71,314.2818532818533,152.90733590733592
72,335.3738317757009,152.42056074766356
73,109.2846975088968,155.09964412811388
74,241.51940298507463,161.55522388059703
75,135.74603174603175,157.67301587301588
76,348.9020408163265,159.11020408163265
77,176.8097165991903,161.2914979757085
78,205.48872180451127,162.8233082706767
79,376.640625,161.359375
80,193.13358778625954,165.49618320610688
81,221.565371024735,165.6042402826855
82,257.49538461538464,167.8923076923077
83,277.6535714285714,164.97142857142856
84,295.0858085808581,165.24092409240924
85,156.7091836734694,162.70408163265307
86,398.2815315315315,175.80180180180182
87,312.1613924050633,168.7120253164557
88,353.4764542936288,170.7257617728532
89,329.4745308310992,172.0965147453083
90,133.06735751295338,168.95854922279793
91,113.64102564102564,173.28205128205127
92,151.04721030042919,173.78969957081546
93,168.7029702970297,174.0742574257426
94,377.3554913294798,176.19653179190752
95,184.41666666666666,177.51388888888889
96,230.67383512544802,179.38709677419354
97,274.5410447761194,179.83955223880596
98,213.70746268656717,183.8626865671642
99,244.77437325905294,185.71309192200556
100,291.3292307692308,184.64307692307693
101,135.69026548672565,181.4070796460177
102,198.51724137931035,184.44334975369458
103,357.1856540084388,184.73839662447259
104,260.6866197183099,188.7288732394366
105,113.42465753424658,183.91780821917808
106,305.25,187.5201612903226
107,339.025,186.37083333333334
