Frame,Cell_74,Cell_77,Cell_78,Cell_81,Cell_82,Cell_87,Cell_88,Cell_91,Cell_92,Cell_93,Cell_94,Cell_95,Cell_98,Cell_99,Cell_103,Cell_105,Cell_106,Cell_107,Cell_108,Cell_111,Cell_112,Cell_113,Cell_114,Cell_115,Cell_118,Cell_123,Cell_124,Cell_126,Cell_129,Cell_130,Cell_131,Cell_134,Cell_135,Cell_137,Cell_140,Cell_141,Cell_142,Cell_143,Cell_145,Cell_149,Cell_151,Cell_152,Cell_157,Cell_159,Cell_160,Cell_161,Cell_163,Cell_166,Cell_167,Cell_168,Cell_173,Cell_174,Cell_177,Cell_180,Cell_181,Cell_183,Cell_187,Cell_189,Cell_191,Cell_193,Cell_194,Cell_196,Cell_199,Cell_201,Cell_203,Cell_206,Cell_207,Cell_214,Cell_218,Cell_219,Cell_221,Cell_222,Cell_223,Cell_225,Cell_226,Cell_229,Cell_230,Cell_233,Cell_234
10,421.78115501519756,170.08201058201058,906.328173374613,166.76119402985074,168.38904899135446,193.63768115942028,173.67477203647417,683.4662004662005,208.55963302752295,291.7453987730061,468.3219814241486,155.85570469798657,152.771875,182.16842105263157,212.26402640264027,118.70773638968481,195.61324041811847,268.0777202072539,726.415770609319,180.993006993007,344.73519163763063,226.8821138211382,179.29811320754717,171.13348416289594,288.53602305475505,147.65837104072398,193.82914572864323,224.77685950413223,195.58196721311475,207.9709090909091,293.1641791044776,213.73664122137404,148.24043715846994,293.8333333333333,152.07509881422925,648.089430894309,291.0810810810811,151.04651162790697,243.438127090301,280.94930875576034,202.9077380952381,270.13307984790873,267.6692913385827,273.1656314699793,168.17241379310346,168.08021390374333,208.1406844106464,253.73946360153258,240.72,175.83132530120483,167.45367412140575,311.60287081339715,220.22727272727272,252.36821705426357,232.6897810218978,373.6857142857143,295.19023136246784,564.6864406779661,421.3003875968992,227.07692307692307,292.688,411.9890510948905,216.83333333333334,203.47169811320754,320.56804733727813,355.54883720930235,206.27007299270073,395.97983870967744,255.26104417670683,299.54464285714283,714.8131313131313,492.6174863387978,207.24742268041237,236.8170731707317,314.36322869955154,399.9551020408163,227.78040540540542,418.7437185929648,253.31924882629107
11,321.3890577507599,169.06084656084656,470.2260061919505,222.34925373134328,179.73198847262248,187.0326086956522,179.49848024316108,515.1678321678322,226.0,272.02147239263803,454.0030959752322,182.60402684563758,156.675,165.67105263157896,177.3993399339934,118.31518624641834,164.9651567944251,263.33678756476684,789.4551971326165,157.9055944055944,304.98257839721254,300.5609756097561,181.27169811320755,208.58597285067873,350.4207492795389,133.52488687782807,179.02763819095478,227.15977961432506,208.21584699453553,191.92363636363638,279.2649253731343,198.59541984732823,133.8879781420765,717.491935483871,179.79446640316206,614.1788617886178,312.3198198198198,147.52906976744185,232.5685618729097,361.29493087557603,243.50892857142858,304.3384030418251,288.56692913385825,322.71221532091096,165.43573667711598,156.92780748663102,204.1977186311787,285.9463601532567,297.8,190.60722891566266,182.75399361022363,295.25837320574163,238.73426573426573,249.0077519379845,259.45255474452557,408.8142857142857,334.3727506426735,670.9322033898305,422.2519379844961,213.2753036437247,319.788,469.7189781021898,239.71666666666667,188.62264150943398,277.6301775147929,819.9069767441861,189.04379562043795,437.2782258064516,222.13654618473896,265.72767857142856,800.7020202020202,641.8415300546449,205.340206185567,193.9471544715447,375.4170403587444,274.9183673469388,231.34797297297297,372.4924623115578,271.943661971831
12,265.2705167173252,194.36507936507937,247.40247678018576,206.87761194029852,197.4178674351585,195.09782608695653,194.00911854103344,298.037296037296,196.20489296636086,242.94478527607362,284.1021671826625,222.84228187919464,185.503125,158.3684210526316,165.04950495049505,105.79656160458453,169.58188153310104,197.26683937823833,1139.5125448028673,164.83916083916083,302.85714285714283,334.2926829268293,211.56603773584905,196.7058823529412,426.0345821325648,145.13348416289594,182.12562814070353,226.89807162534436,213.44262295081967,211.6,339.8768656716418,202.16412213740458,161.17486338797815,576.6397849462365,214.93675889328063,364.1666666666667,301.6261261261261,155.80232558139534,215.40133779264215,300.64516129032256,218.08333333333334,311.24334600760454,271.81496062992125,334.648033126294,165.85579937304075,216.31550802139037,202.68821292775667,374.2068965517241,453.3377777777778,201.14698795180723,201.1150159744409,256.0287081339713,222.2762237762238,254.10077519379846,276.03284671532845,412.01428571428573,416.7609254498715,535.1355932203389,414.6492248062016,208.37246963562754,350.42,426.43430656934305,246.40416666666667,187.89811320754717,233.45857988165682,880.6139534883721,209.66058394160584,551.891129032258,220.35341365461846,358.10267857142856,880.7222222222222,540.4153005464481,226.15463917525773,219.3170731707317,408.2690582959641,239.28979591836736,337.44256756756755,377.78391959798995,341.3568075117371
13,234.16413373860183,215.97883597883597,156.0061919504644,185.79402985074626,182.7579250720461,213.1485507246377,207.66565349544072,205.04428904428903,163.1651376146789,238.33128834355827,195.5015479876161,215.71812080536913,189.1,187.24736842105264,169.58745874587459,100.53581661891117,183.21951219512195,175.46891191709844,759.9498207885305,185.1818181818182,267.8850174216028,245.3170731707317,205.97735849056605,184.5656108597285,397.0317002881844,150.5,186.33165829145727,211.50964187327824,208.4945355191257,219.53454545454545,252.59701492537314,198.53435114503816,165.9016393442623,367.05913978494624,218.72332015810278,223.4959349593496,246.4144144144144,184.03488372093022,227.08026755852842,265.4331797235023,196.36904761904762,460.0722433460076,247.96850393700788,309.2443064182195,172.82758620689654,282.1898395721925,205.50570342205324,489.46360153256705,540.96,200.19036144578314,198.5079872204473,358.1578947368421,223.22027972027973,312.3643410852713,282.2153284671533,434.04285714285714,401.8483290488432,523.3008474576271,514.75,225.47773279352228,367.716,383.2992700729927,264.17083333333335,196.69056603773586,232.3698224852071,751.413953488372,236.55109489051094,564.4153225806451,244.77911646586347,377.48660714285717,661.9242424242424,423.6775956284153,220.47766323024055,217.0528455284553,541.9641255605382,254.5061224489796,377.36486486486484,397.33668341708545,388.63849765258215
14,200.25835866261397,182.88095238095238,135.13003095975233,170.55522388059703,188.01152737752162,186.72826086956522,258.0759878419453,168.68065268065268,153.045871559633,339.319018404908,176.6996904024768,209.748322147651,205.60625,253.1342105263158,180.92079207920793,115.35816618911174,188.9512195121951,147.68393782383419,450.8673835125448,246.85664335664336,231.10104529616726,250.5772357723577,214.3622641509434,176.12217194570135,418.8184438040346,145.50226244343892,199.22613065326632,227.55922865013775,249.54644808743168,219.90545454545455,224.54850746268656,237.9770992366412,161.0136612021858,299.0833333333333,210.13438735177866,226.6382113821138,215.85585585585585,173.1453488372093,270.494983277592,253.55299539170508,199.9077380952381,415.38783269961976,260.6732283464567,356.40372670807454,176.12225705329155,270.4385026737968,230.7148288973384,498.1455938697318,536.5911111111111,194.52289156626506,213.629392971246,382.10526315789474,205.993006993007,408.71317829457365,261.92335766423355,413.42857142857144,378.4987146529563,500.6271186440678,677.1569767441861,272.36032388663966,349.108,371.13138686131384,257.1125,212.97735849056605,253.3905325443787,609.8046511627907,259.11678832116786,514.2620967741935,260.8072289156627,359.19642857142856,569.3333333333334,356.59016393442624,226.37113402061857,250.33739837398375,720.506726457399,310.8204081632653,475.27702702702703,438.964824120603,451.0845070422535
15,729.9817629179331,198.47354497354496,121.19195046439629,161.0089552238806,205.0778097982709,179.1195652173913,213.14589665653494,155.36130536130537,211.17125382262998,284.4877300613497,208.6934984520124,253.8523489932886,201.203125,263.61052631578946,246.03630363036302,121.40401146131805,179.29965156794424,149.98704663212436,289.0967741935484,270.7762237762238,218.49128919860627,236.02032520325204,192.48301886792453,194.18778280542986,363.5100864553314,137.6787330316742,211.5075376884422,224.6694214876033,227.50273224043715,214.54545454545453,194.794776119403,239.21374045801528,164.7704918032787,239.7311827956989,225.7509881422925,255.53658536585365,185.35585585585585,171.88081395348837,242.44481605351172,268.5990783410138,188.3422619047619,376.532319391635,231.68897637795277,345.7846790890269,181.4639498432602,397.20588235294116,219.44106463878327,431.13793103448273,401.03555555555556,196.6,194.00958466453673,374.5933014354067,206.76573426573427,376.8178294573643,262.12773722627736,386.1857142857143,312.4344473007712,458.6737288135593,663.4864341085271,277.7085020242915,329.576,379.6970802919708,284.70416666666665,224.3811320754717,268.36686390532543,500.89302325581394,239.0,936.483870967742,263.9718875502008,448.64285714285717,398.72727272727275,335.04918032786884,231.42268041237114,227.9471544715447,556.4260089686098,661.0734693877552,949.3851351351351,581.105527638191,522.5117370892019
16,602.9331306990881,223.06613756613757,115.58823529411765,170.23582089552238,200.43804034582132,162.45289855072463,172.9696048632219,428.4755244755245,316.96941896024464,276.2546012269939,227.85758513931887,238.71812080536913,173.703125,225.38684210526316,236.5082508250825,111.41833810888252,169.6445993031359,170.21502590673575,230.13978494623655,233.35664335664336,195.7177700348432,246.7520325203252,181.19245283018867,196.60180995475113,265.9971181556196,164.37782805429865,237.13316582914572,218.05234159779613,208.24590163934425,212.33454545454546,224.3134328358209,203.41221374045801,247.30327868852459,216.08064516129033,194.58498023715416,251.890243902439,178.75225225225225,174.4593023255814,292.10367892976586,261.84331797235023,221.17261904761904,293.22813688212926,253.0984251968504,350.2670807453416,189.36677115987462,369.60427807486633,217.02281368821292,344.2528735632184,320.7688888888889,200.89638554216867,191.83067092651757,403.75598086124404,236.93006993006992,324.9108527131783,247.47445255474452,478.03333333333336,308.8688946015424,499.1525423728813,589.3720930232558,275.6518218623482,304.9,448.12773722627736,274.6625,240.66037735849056,294.15976331360946,503.28372093023256,237.86496350364965,1050.4233870967741,264.4698795180723,658.2946428571429,324.2020202020202,376.7049180327869,544.7044673539519,331.7479674796748,506.99103139013454,854.8285714285714,887.0304054054054,991.4522613065327,431.4600938967136
17,257.1732522796353,419.73280423280426,108.51702786377709,153.35223880597016,176.30835734870317,208.43478260869566,538.0851063829788,832.4032634032634,193.77064220183487,210.8957055214724,199.08359133126936,199.85570469798657,152.24375,225.08947368421053,205.9141914191419,96.2406876790831,164.58536585365854,168.46113989637306,765.1899641577061,224.6048951048951,192.3170731707317,241.35772357723576,161.02264150943395,253.40271493212668,215.80115273775215,187.9185520361991,189.99748743718592,180.83471074380165,189.70765027322403,201.31636363636363,212.705223880597,191.5801526717557,339.275956284153,188.93279569892474,178.22529644268775,225.5121951219512,169.15315315315314,169.38662790697674,259.75250836120404,233.81566820276498,193.90178571428572,231.04562737642587,224.03937007874015,333.31469979296065,195.21630094043888,340.0748663101604,207.14828897338404,263.9961685823755,268.6222222222222,193.14698795180723,198.3961661341853,433.72727272727275,267.6643356643357,296.23643410852713,253.77372262773721,500.1952380952381,319.3573264781491,635.5805084745763,670.172480620155,275.89473684210526,316.212,527.0547445255474,276.37916666666666,240.29811320754717,272.15976331360946,463.9813953488372,231.66058394160584,683.1612903225806,266.1686746987952,786.7901785714286,310.24747474747477,358.0163934426229,611.9656357388316,369.9634146341463,411.4080717488789,703.4571428571429,537.5101351351351,1089.854271356784,372.37089201877933
18,160.9452887537994,353.6164021164021,108.86377708978328,133.22985074626865,157.12680115273776,250.5072463768116,753.6717325227963,379.3659673659674,179.39755351681958,145.51226993865032,229.13003095975233,179.33557046979865,174.134375,314.2078947368421,224.56765676567656,104.51002865329512,166.12891986062718,204.36269430051814,856.4910394265233,334.62587412587413,216.28571428571428,350.5975609756098,201.02641509433963,243.91402714932127,305.86167146974066,243.29185520361992,210.91959798994975,188.1818181818182,203.22131147540983,210.19272727272727,185.0597014925373,224.7824427480916,223.20218579234972,196.1263440860215,167.54545454545453,210.2439024390244,170.75225225225225,179.54360465116278,215.33110367892976,218.65437788018434,198.39285714285714,221.1406844106464,198.4488188976378,312.9461697722567,242.2884012539185,347.8422459893048,208.78707224334602,220.7816091954023,238.78222222222223,228.7253012048193,201.63578274760383,409.9952153110048,413.6993006993007,315.88759689922483,260.036496350365,442.5571428571429,356.9177377892031,606.5254237288135,790.8352713178294,301.5263157894737,307.848,628.1824817518249,266.84166666666664,246.13962264150945,236.96153846153845,548.3627906976744,239.55109489051094,557.1733870967741,255.09236947791166,713.2410714285714,352.94444444444446,326.6120218579235,579.9965635738831,379.3170731707317,387.78923766816143,526.7102040816327,409.6182432432432,839.8090452261307,357.9389671361502
19,219.98176291793314,199.47354497354496,107.95665634674923,183.69253731343284,168.54755043227667,216.3514492753623,467.25227963525833,263.32167832167835,171.85626911314984,151.99079754601226,260.6780185758514,176.98322147651007,198.33125,334.7763157894737,212.5016501650165,106.05444126074498,173.57839721254356,242.79274611398964,647.4336917562724,278.465034965035,208.05226480836237,363.1056910569106,228.09811320754716,211.9841628959276,400.9020172910663,212.3393665158371,257.3492462311558,213.09641873278238,204.44808743169398,206.08,210.9589552238806,206.25954198473283,188.78142076502732,197.7983870967742,170.4822134387352,256.3780487804878,173.67117117117118,197.01453488372093,224.1036789297659,238.89400921658986,201.20833333333334,209.65779467680608,197.03937007874015,336.0144927536232,239.9655172413793,220.20053475935828,226.3041825095057,220.22988505747125,265.7688888888889,283.79277108433735,205.98402555910542,462.89473684210526,428.7937062937063,381.22868217054264,260.24087591240874,419.5952380952381,353.8123393316195,548.1864406779661,876.9282945736434,321.31983805668017,279.124,551.6058394160584,309.56666666666666,290.07547169811323,253.08579881656806,650.7395348837209,249.53284671532847,493.2056451612903,275.37751004016064,572.5446428571429,264.0050505050505,284.7103825136612,662.213058419244,422.5894308943089,327.37668161434976,431.3795918367347,322.4628378378378,579.8793969849246,397.7089201877934
