cell_number,x_position,y_position
1,243.16161616161617,53.696969696969695
2,293.47318611987384,64.46687697160883
3,233.16023738872403,62.86646884272997
4,309.1383647798742,66.40880503144655
5,325.87025316455697,71.65822784810126
6,247.3697270471464,75.87841191066998
7,271.9779005524862,80.93922651933701
8,339.04405286343615,80.65198237885463
9,192.06593406593407,77.06959706959707
10,231.78991596638656,79.70588235294117
11,214.59748427672955,81.51886792452831
12,300.69647696476966,83.53387533875339
13,168.54151624548737,84.94584837545126
14,182.94818652849742,92.23575129533678
15,364.6618181818182,91.56727272727272
16,204.36335403726707,94.25776397515529
17,285.6972222222222,95.09166666666667
18,224.82679738562092,95.77777777777777
19,320.91282051282053,91.9948717948718
20,149.04347826086956,97.8876811594203
21,242.01190476190476,98.41369047619048
22,346.23591549295776,95.55281690140845
23,260.88652482269504,97.4645390070922
24,333.9888888888889,106.20370370370371
25,304.27061855670104,105.05412371134021
26,372.86538461538464,102.1923076923077
27,320.5863453815261,105.20883534136546
28,197.94463667820068,107.5121107266436
29,164.19756097560975,112.50975609756098
30,271.8556701030928,113.74570446735395
31,350.8840909090909,112.17954545454545
32,378.135831381733,114.63466042154566
33,182.63313609467457,111.94082840236686
34,218.16549295774647,111.99647887323944
35,137.80789473684212,114.2921052631579
36,254.89495798319328,110.6344537815126
37,288.0629139072848,112.73509933774834
38,395.7,113.48214285714286
39,232.37666666666667,116.60333333333334
40,244.66666666666666,125.25089605734767
41,203.61774744027304,122.04436860068259
42,317.6470588235294,120.47058823529412
43,356.9264214046823,125.33779264214047
44,404.7799043062201,123.49760765550239
45,151.25277777777777,126.92222222222222
46,259.4475806451613,125.42338709677419
47,301.07169811320756,127.58867924528302
48,328.54676258992805,128.42805755395685
49,125.74921630094043,129.47335423197492
50,284.2633333333333,129.16
51,173.17994858611826,130.8483290488432
52,218.9554794520548,132.3595890410959
53,194.58610271903322,134.32628398791542
54,381.2967741935484,131.2225806451613
55,107.98809523809524,138.60416666666666
56,336.07308970099666,137.58803986710964
