cell_number,x_position,y_position
1,253.00906344410876,39.036253776435046
2,238.31379310344826,45.237931034482756
3,285.51891252955085,50.858156028368796
4,308.523595505618,44.63370786516854
5,333.06913339824735,58.78481012658228
6,184.88529411764705,54.44705882352941
7,202.3755458515284,51.54148471615721
8,217.36675461741424,54.16094986807388
9,227.69436201780417,63.02967359050445
10,272.34391534391534,60.854497354497354
11,256.391975308642,59.660493827160494
12,193.73076923076923,63.246153846153845
13,243.39545454545456,69.10227272727273
14,205.26277372262774,64.94160583941606
15,354.7757936507937,72.37103174603175
16,303.2175572519084,70.41603053435115
17,174.87769784172662,73.02637889688249
18,318.05827505827506,77.28205128205128
19,371.1,81.39166666666667
20,156.51818181818183,79.06969696969696
21,192.4981684981685,77.35531135531136
22,262.2361963190184,80.60736196319019
23,214.7529761904762,80.21130952380952
24,278.77358490566036,78.6
25,291.2694805194805,84.42207792207792
26,235.83742331288343,84.6840490797546
27,197.89802631578948,90.46710526315789
28,337.0810810810811,89.33243243243243
29,304.4301886792453,92.85660377358491
30,178.69129287598943,94.48812664907652
31,256.1333333333333,96.07333333333334
32,161.44772117962466,96.74530831099196
33,354.9492957746479,95.92112676056338
34,209.3909465020576,97.81481481481481
35,150.792817679558,106.6353591160221
36,232.60544217687075,98.86734693877551
37,273.75085324232083,97.67235494880546
38,320.55719557195573,97.39852398523985
39,378.37468982630276,99.85111662531017
40,221.4512195121951,105.73577235772358
41,245.7731092436975,110.36414565826331
42,290.56639566395665,105.8509485094851
43,331.877030162413,110.23433874709977
44,395.2279411764706,107.875
45,194.88484848484848,111.7060606060606
46,308.20454545454544,110.3030303030303
47,358.55835962145113,110.41955835962145
48,183.76100628930817,118.35220125786164
49,261.43631436314365,118.00542005420054
50,210.6,115.98867924528302
51,277.56112852664575,117.73354231974922
52,170.88955223880598,120.49253731343283
53,145.63004484304932,128.18385650224215
54,374.1294363256785,120.95407098121086
55,233.77556109725685,124.48379052369077
56,403.8668831168831,118.8538961038961
57,337.22121896162525,124.52370203160271
