cell_number,x_position,y_position
1,247.91275167785236,104.12304250559284
2,269.01176470588234,107.57254901960785
3,280.9384615384615,106.33461538461539
4,218.2027972027972,105.43706293706293
5,234.4415322580645,117.47782258064517
6,297.1706586826347,108.04790419161677
7,313.1577380952381,112.07440476190476
8,201.09666666666666,112.68333333333334
9,330.937343358396,118.27318295739349
10,182.2469512195122,121.14634146341463
11,258.41686182669787,125.20140515222482
12,337.78384279475983,131.0829694323144
13,220.91322314049586,125.81404958677686
14,288.48837209302326,126.23255813953489
15,273.85263157894735,124.89473684210526
16,308.6275659824047,128.94428152492668
17,354.3915343915344,128.02116402116403
18,203.99656357388315,127.63230240549828
19,164.65463917525773,130.16494845360825
20,155.07035175879398,133.45226130653268
21,175.8668941979522,137.8430034129693
22,247.21025641025642,140.37179487179486
23,194.9885496183206,140.14503816793894
24,272.7582089552239,139.0
25,359.08029197080293,139.76642335766422
26,139.82215743440233,142.48396501457725
27,214.07986111111111,142.66666666666666
28,321.09090909090907,146.4965034965035
29,230.06709265175718,145.8370607028754
30,291.44985673352437,148.15472779369628
31,123.03061224489795,145.7295918367347
32,365.158256880734,152.045871559633
33,307.4618320610687,146.1946564885496
34,383.03092783505156,150.79381443298968
35,337.79633867276885,151.92906178489702
36,150.53535353535352,147.11111111111111
37,189.4754716981132,153.66415094339624
38,259.2335766423358,158.56569343065692
39,275.51234567901236,156.38888888888889
40,174.8849840255591,157.73162939297126
41,158.22424242424242,159.8242424242424
42,207.912,159.06
43,242.27542372881356,157.86016949152543
44,132.4171597633136,161.55917159763314
45,221.04240282685512,164.93286219081273
46,113.73271889400921,162.3732718894009
47,343.8377483443709,165.2913907284768
48,390.51666666666665,162.22916666666666
49,305.1206225680934,162.2101167315175
50,316.341726618705,169.9568345323741
51,368.0960264900662,168.89403973509934
52,194.32280701754385,169.7263157894737
53,289.4026548672566,170.33185840707964
54,233.87547169811322,173.30188679245282
55,248.6595744680851,172.34893617021277
56,146.3021148036254,174.63444108761328
57,272.83274021352315,173.03202846975088
58,392.2689655172414,175.2574712643678
59,323.61333333333334,179.58333333333334
60,122.15537848605578,177.49003984063745
61,167.75,178.8279569892473
62,345.4668989547038,177.7595818815331
63,105.25405405405405,176.36756756756756
64,209.96428571428572,180.98214285714286
65,299.2405498281787,181.97594501718214
66,259.2826086956522,182.2608695652174
67,187.2408026755853,183.46153846153845
68,366.3509433962264,183.6075471698113
69,226.1822222222222,186.67111111111112
70,280.8882833787466,190.3623978201635
71,348.75,188.52272727272728
72,127.26384364820846,190.92182410423453
73,242.37722419928826,192.09608540925268
74,104.25136612021858,189.33333333333334
75,148.91964285714286,191.89285714285714
76,385.81875,191.125
77,324.46278317152104,194.27508090614887
78,304.4609375,195.2109375
79,202.09597523219813,196.60681114551085
80,260.7738853503185,196.7579617834395
81,178.9967213114754,197.8327868852459
82,220.8296943231441,199.96069868995633
83,363.4088235294118,200.43823529411765
84,334.8622754491018,200.7005988023952
85,106.63855421686748,200.570281124498
86,160.7579365079365,202.4484126984127
87,235.24137931034483,209.50470219435738
88,287.7809187279152,207.56183745583039
89,133.85422740524783,205.58892128279882
90,270.79285714285714,209.10357142857143
91,342.6631853785901,212.22454308093995
92,304.2638436482085,211.17589576547232
93,200.7610294117647,213.50735294117646
94,251.61967213114755,213.60655737704917
95,320.4189944134078,214.25698324022346
96,174.37254901960785,214.0078431372549
97,216.29562043795622,214.73722627737226
98,364.54466858789624,216.23054755043228
99,382.6005221932115,215.9425587467363
100,155.25225225225225,214.17117117117118
101,189.20731707317074,217.41869918699186
102,86.6590909090909,211.82954545454547
103,131.44285714285715,216.72380952380954
104,111.6023166023166,216.65637065637065
105,79.15873015873017,220.56349206349208
106,149.521568627451,225.50980392156862
107,269.457249070632,223.98884758364312
108,286.62783171521033,226.98381877022655
109,226.1015625,227.2421875
110,345.7737556561086,227.68778280542986
111,91.22302158273381,225.84892086330936
112,103.65413533834587,225.18045112781954
113,166.73755656108597,227.7737556561086
114,240.664,232.488
115,330.36401673640165,228.96234309623432
116,299.3440366972477,230.27981651376146
117,134.1639344262295,230.2295081967213
118,182.10280373831776,230.91121495327104
119,118.5792349726776,229.97814207650273
120,256.9124087591241,233.7992700729927
121,312.25384615384615,232.35
122,209.7933130699088,233.7841945288754
123,357.25867507886437,234.73817034700315
124,78.1864406779661,229.9915254237288
125,372.1689750692521,238.3185595567867
126,195.1078431372549,236.74019607843138
127,109.06617647058823,237.6139705882353
128,273.2527075812274,241.23104693140795
129,81.890625,238.06770833333334
130,154.34362934362935,240.7027027027027
131,323.77725118483414,241.74881516587678
132,387.79411764705884,245.359477124183
133,171.9484126984127,242.88492063492063
134,98.22784810126582,245.27004219409284
135,137.4624060150376,244.3345864661654
136,338.7214285714286,242.0857142857143
137,224.62053571428572,244.42410714285714
138,289.0453074433657,247.96440129449837
139,305.80737704918033,247.86475409836066
140,187.9942196531792,247.60693641618496
141,249.368,249.892
142,122.20960698689956,249.78602620087335
143,83.28956228956228,250.75084175084174
144,206.06944444444446,249.4212962962963
145,350.9901639344262,251.9967213114754
146,262.66,254.132
147,238.2538860103627,255.00518134715026
148,169.2127659574468,255.77446808510638
149,332.7700729927007,257.4014598540146
150,371.04661016949154,255.38983050847457
151,75.5527950310559,261.3664596273292
152,156.55555555555554,259.56378600823047
153,109.65140845070422,258.6232394366197
154,140.85614035087718,259.9263157894737
155,225.03174603174602,258.6666666666667
156,273.3560606060606,261.9318181818182
157,184.45901639344262,260.72131147540983
158,198.07894736842104,262.8464912280702
159,212.27488151658767,262.8909952606635
160,385.43502824858757,261.361581920904
161,300.39473684210526,261.6578947368421
162,128.2313725490196,266.89803921568625
163,286.3763837638376,268.45756457564573
164,356.6431924882629,266.76525821596243
165,99.8527918781726,266.83248730964465
166,341.7135416666667,267.6614583333333
167,252.79591836734693,270.4149659863946
168,310.6382113821138,270.0528455284553
169,236.34158415841586,268.96534653465346
170,371.1782178217822,268.8019801980198
171,172.8095238095238,268.48571428571427
172,323.65263157894736,274.4245614035088
173,66.16025641025641,277.3269230769231
174,91.14634146341463,274.4227642276423
175,389.86021505376345,274.9820788530466
176,189.8985507246377,273.22463768115944
177,221.64606741573033,273.7022471910112
178,116.31679389312977,276.30916030534354
179,146.1627906976744,277.0813953488372
180,162.64186046511628,276.26976744186044
181,82.26851851851852,283.2191358024691
182,207.18032786885246,278.8524590163934
183,270.25941422594144,277.2050209205021
184,294.8146551724138,280.28879310344826
185,180.0,280.1651376146789
186,343.80841121495325,280.35981308411215
187,374.8690476190476,280.5416666666667
188,359.26937269372695,282.9372693726937
189,133.55371900826447,283.7603305785124
190,236.29608938547486,281.32402234636874
191,259.4468085106383,286.45212765957444
192,331.9095022624434,287.23981900452486
