cell_number,x_position,y_position
1,249.77777777777777,101.47692307692307
2,268.1029411764706,104.91176470588235
3,216.80494505494505,103.19505494505495
4,281.1111111111111,105.72222222222223
5,297.19101123595505,107.3567415730337
6,200.30769230769232,111.15934065934066
7,313.0275229357798,111.8256880733945
8,182.0880829015544,119.73834196891191
9,235.08114558472553,120.55608591885442
10,324.73755656108597,120.80090497737557
11,337.2298136645963,115.3975155279503
12,166.84285714285716,117.2
13,258.45045045045043,124.97522522522523
14,220.53515625,125.453125
15,284.76666666666665,121.8
16,273.98148148148147,124.38888888888889
17,164.69230769230768,128.64253393665157
18,204.03257328990227,127.13680781758957
19,337.0360576923077,131.7283653846154
20,291.38071065989845,129.3451776649746
21,308.2942857142857,128.89714285714285
22,353.76536312849163,127.54189944134079
23,154.9198312236287,133.0210970464135
24,178.86352941176472,137.47529411764705
25,247.25440806045341,140.31234256926953
26,139.27913279132792,142.23035230352303
27,272.7906976744186,139.04651162790697
28,358.86805555555554,139.77777777777777
29,213.9158249158249,142.43097643097644
30,321.17391304347825,146.16387959866222
31,197.68648648648647,142.5837837837838
32,229.99099099099098,145.61261261261262
33,121.6044776119403,145.29850746268656
34,291.42424242424244,147.86776859504133
35,307.2950191570881,145.8007662835249
36,364.53316953316954,152.4938574938575
37,150.7923076923077,147.55384615384617
38,337.4368070953437,151.84035476718404
39,382.8379310344828,150.92068965517242
40,189.24232081911262,153.23890784982936
41,259.30592105263156,158.4309210526316
42,157.4937343358396,159.18045112781954
43,173.32510288065845,154.63374485596708
44,275.65868263473055,156.32335329341316
45,207.5253623188406,158.7536231884058
46,110.55,161.32777777777778
47,132.04775280898878,161.37640449438203
48,242.119341563786,157.80658436213992
49,220.98666666666668,164.64
50,305.3527272727273,161.8581818181818
51,390.7932489451477,162.042194092827
52,344.07236842105266,165.2203947368421
53,194.0774193548387,169.8258064516129
54,316.56939501779357,169.53024911032028
55,368.5510835913313,168.7058823529412
56,233.77857142857144,173.40357142857144
57,289.5450819672131,170.20081967213116
58,145.72564102564104,174.59230769230768
59,248.62301587301587,172.34920634920636
60,272.9103448275862,173.02068965517242
61,391.5906976744186,175.47441860465116
62,121.60283687943263,176.95035460992906
63,167.77488151658767,178.53791469194312
64,324.1339563862928,179.29595015576325
65,345.64642857142854,177.76071428571427
66,100.72727272727273,178.75757575757575
67,209.7941176470588,180.9248366013072
68,299.5947712418301,181.91176470588235
69,405.26216216216216,186.57567567567568
70,259.3849372384937,182.2887029288703
71,187.16768292682926,183.6128048780488
72,366.30035335689047,183.34628975265016
73,226.0168776371308,186.69620253164558
74,281.06410256410254,190.26410256410256
75,126.95348837209302,190.30232558139534
76,348.86046511627904,188.7906976744186
77,100.82918149466192,190.55871886120997
78,242.51644736842104,192.14802631578948
79,148.575,191.7138888888889
80,324.39814814814815,194.33641975308643
81,304.44736842105266,195.25187969924812
