label,n_frames,n_cells,active_fraction,mean_peak_amp,median_peak_amp,mean_peaks_per_frame,spatial_heterogeneity_cv,temporal_sync_r,trial,condition,provenance
Baseline,31,484,0.9648760330578512,2.850910391388346,2.1410927299922213,0.06351639562783257,0.7688506607869622,0.25951063900761073,trial1,Baseline,recomputed from raw images
Latrunculin,90,517,1.0,9.234028899340398,5.40353274875001,0.19533634214485276,0.9244013094416633,0.5320918438956671,trial1,Latrunculin,recomputed from raw images
Baseline,31,479,0.9832985386221295,2.517231478213126,2.1422435812536658,0.10445147821402115,0.6773516472743651,0.24136226948662248,trial2,Baseline,pipeline CSV (raw TIFFs unavailable)
Latrunculin,55,452,0.9867256637168141,2.211469896381352,1.6385315553020807,0.1337087691069992,1.3407140196676426,0.36593884762921414,trial2,Latrunculin,pipeline CSV (raw TIFFs unavailable)
