Frame,Cell_143,Cell_147,Cell_148,Cell_150,Cell_152,Cell_154,Cell_157,Cell_161,Cell_162,Cell_163,Cell_164,Cell_165,Cell_166,Cell_169,Cell_170,Cell_174,Cell_175,Cell_176,Cell_177,Cell_179,Cell_181,Cell_183,Cell_184,Cell_185,Cell_186,Cell_188,Cell_190,Cell_192,Cell_194,Cell_195,Cell_196,Cell_197,Cell_198,Cell_199,Cell_201,Cell_202,Cell_204,Cell_205,Cell_206,Cell_209,Cell_210,Cell_211,Cell_213,Cell_214,Cell_217,Cell_218,Cell_219,Cell_220,Cell_221,Cell_224,Cell_225,Cell_226,Cell_227,Cell_228,Cell_229,Cell_230,Cell_232,Cell_234,Cell_235,Cell_238,Cell_240,Cell_241,Cell_242,Cell_243,Cell_244,Cell_245,Cell_246,Cell_248,Cell_251,Cell_252,Cell_253,Cell_255,Cell_256,Cell_257,Cell_260,Cell_261,Cell_262,Cell_264,Cell_266,Cell_267,Cell_269,Cell_270,Cell_271,Cell_272,Cell_273,Cell_276,Cell_277,Cell_281,Cell_282,Cell_283,Cell_284,Cell_286,Cell_287,Cell_288,Cell_289,Cell_290,Cell_291,Cell_292,Cell_293,Cell_294,Cell_297,Cell_300,Cell_301,Cell_302,Cell_303,Cell_304,Cell_305,Cell_309,Cell_310,Cell_311,Cell_312,Cell_313,Cell_314,Cell_315,Cell_316,Cell_321,Cell_322,Cell_323,Cell_324,Cell_326,Cell_327,Cell_328,Cell_329,Cell_330,Cell_331,Cell_332,Cell_333,Cell_334,Cell_335,Cell_337,Cell_340,Cell_341,Cell_342,Cell_344
0,-0.3569734526815087,0.6344350630064917,0.3241688242304687,-0.0741995161519851,-0.28402879716236723,0.1696459603071377,0.3370877166909054,-0.37576906254556053,-0.27474769655879155,-0.09151732377538853,0.739971201240562,0.18768531604178793,0.253019044728055,-0.2566744371216699,-0.32133040348431496,-0.2421224008934014,-0.22947863188784645,0.014406108567622566,-0.23264305594566306,-0.19219538626717103,0.08377413647889273,-0.5222611702380764,0.6328017485631022,0.021177443932748792,0.20928174840179606,-0.25803551488567333,-0.06868703368292597,-0.3425310849940385,0.3074690244463748,0.1145291970198219,-0.36568966157732463,-0.1449499133840476,0.35859371318158234,-0.23055819844850825,0.04176681268237861,0.12329324178488181,-0.37976584052600826,-0.07258405552767644,-0.4977923191766463,-0.10776197551829053,-0.5646007021327122,-0.1558820034292117,-0.3556510740102679,-0.4287617021684346,-0.07655665192242266,-0.1005168802414762,-0.3988022176273364,-0.33783763001543,-0.5296111802961118,-0.6208768892024199,0.16119876076717815,0.013810176565664769,-0.37120994627278414,-0.170225191456227,-0.5628361292375487,-0.4617314493788874,0.2995777670104519,-0.24000553032639557,-0.572841250220731,-0.40571686815049146,0.71409021211985,-0.3450120675784394,-0.4498910859323551,0.16968504599034798,-0.028771413011189233,-0.2867228823740413,-0.4636380145575554,-0.6766627078384798,-0.5633318007281946,-0.6275800783616755,-0.34311617438102787,0.02371176986991321,-0.41920223586816924,-0.4360684307242568,-0.48741740475186274,-0.5444392247890646,-0.5741666733552183,0.655621004112145,-0.29123275354661704,-0.5976012474267113,0.39889244750169595,-0.3400806782772531,-0.5923699573993904,-0.6420711974110032,-0.2743018877646791,-0.09759089078460809,-0.0732525454123295,-0.42756962982007796,-0.4977039884503661,-0.09982069085365383,-0.005468862620729533,-0.29603808876041493,0.6748285603853956,-0.3876916348793703,0.042222482710115944,-0.04737451940801596,-0.37022990689720675,-0.012707218907046581,-0.06441275080858258,0.403002496676502,-0.5312752676347877,-0.18452800025409066,0.03631145495383084,-0.6147548652694611,-0.4388258251327136,-0.6165428782434672,0.00026854563357596434,0.4431078498894419,-0.11555697158173979,-0.5882379864604528,0.14026455846206015,0.006960153123368863,0.42011142142742247,-0.14934331418172922,-0.03762534386369677,-0.4668300621110957,-0.45017124885056703,-0.3409482281940692,-0.36254750662213525,-0.29327479618728597,-0.25156376674549014,-0.6191157166792951,-0.2385838044196461,-0.5444921316165952,-0.7318593567528329,-0.1479626013038597,-0.2569428597205344,-0.28717972864801605,-0.7164818548387096,-0.2853885197263566,-0.7037118706357957,-0.5525222126683864,-0.44050316872768075,-0.2584585486566181
1,-0.049750265036012147,0.6749968178539608,0.28019561911806995,-0.11034580902234234,-0.3179461230542627,0.24273987523871968,0.07153851869937675,-0.2541186761918647,-0.14344926024539548,-0.20768618080446055,0.413492957226458,0.10113521951579982,0.46507806622761283,0.07169923542560044,-0.3623640416164575,-0.05787882630625182,-0.1766317496025487,0.09060587467157508,-0.24495059111916873,-0.026279613481973493,0.09032490942553748,-0.4480308341396102,0.6952359750667855,0.13679438419944012,0.28369500298626305,-0.22745675166493937,-0.09530283885907552,-0.3229432805314256,0.3245065069077899,0.21526761403489394,-0.3297794618423171,-0.2537847405287339,0.3172471212906669,-0.3239512254916266,-0.021265935911063554,0.26659837027073513,-0.2827294444814247,-0.1262059282899076,-0.42342206410215694,-0.03471961421441353,-0.150156279081708,-0.04327257705823439,-0.3376793594285682,-0.42583915447341447,0.01698990586367236,-0.3806994209985584,-0.13638572876078123,-0.35280638530191255,-0.21606475716064757,-0.5751298659654973,0.47315592485807895,0.18914827014751306,-0.30183914645792925,0.028458534039653847,-0.3958773771614121,-0.40088332142794914,0.23891267588921072,-0.3153385020614647,-0.4552946023897816,-0.2692602216949748,0.5615057662436258,-0.36170555108608216,-0.2922780770334848,0.30313272461282353,-0.1497611149618774,-0.36862662483701814,-0.439931678634358,-0.5570071258907364,-0.48547960185403805,-0.5387163226562185,-0.2630175915098017,-0.08837378404022331,-0.38176317647477837,-0.2990734657020685,-0.3570082946717278,-0.443600088427103,-0.4787344190190302,0.37982065665635206,-0.4308264857324268,-0.4818091455974976,-0.08991369925689868,-0.21592308992970838,-0.40639459031087033,-0.3645189761694616,-0.2803748293135368,0.10286310548090645,0.07500135854127257,-0.21417219845771301,-0.2945852394287801,-0.03212556379693059,0.03854331843736483,-0.27317230331397274,0.2686332248180013,-0.31135353142690547,0.04327745868010781,-0.23816295359983142,-0.19452783583507494,0.09030439933189618,-0.24751874357019682,0.033559223112091044,-0.06509751285617263,-0.3545040204542928,-0.015223359121537262,-0.5112828320631464,-0.4335802261902263,-0.588035188820394,0.05474494558753961,0.1782860634557328,-0.14024892816822396,-0.38934728064810087,-0.007466092716895829,-0.1675221854880807,0.47441840061998264,-0.08328869113019795,0.03311444375425209,-0.19200195392930072,-0.1972626837426869,-0.14820607611735154,-0.2494273612550706,-0.1374904559001009,0.008769504086634631,-0.589981110530079,0.09016714387098348,-0.2888757338069163,-0.5722469463119024,-0.14192446671006576,0.05325026136888297,-0.09261214962700873,-0.5673846655597723,-0.07454086261432469,-0.5648168565478378,-0.19977667908665345,-0.3027494204077371,-0.014326493421782667
2,0.19807206793665363,0.5587424158852731,0.10528911354950056,0.11489967269104885,-0.2723055264700429,0.10357479406506075,-0.06428806488253855,0.1278612042571804,-0.030038520307796465,-0.3086419753086421,0.056508335025568124,-0.09062358559407349,0.29911309374546324,0.4797440546426072,-0.45010199339996376,0.23902167643653938,-0.2521003650896386,0.005543231436467642,-0.08827209355769493,0.05765660903681558,0.00886359686454173,-0.27165447999111786,0.34208289484335797,0.2427027095477894,0.36859335943548555,-0.29233641220630946,-0.1379649958923261,-0.29654232669051267,0.1245109611515707,0.05107062182776162,-0.26433621853213973,-0.26414099570686145,0.16398824952479693,-0.2452676002077994,-0.1884279727286883,0.17748721397625764,0.023319798531141214,-0.13782118148551192,-0.09048314856580174,0.06368618998633858,0.14574709102694933,-0.18078057006400067,-0.2546889576977891,-0.22279395559643927,0.12310309629125538,-0.40451254768598527,0.10724847805850506,-0.2895992782189231,-0.07506572575065733,-0.5610744137326579,0.3065220895041277,0.16062769809931043,-0.13128306684556199,0.07488848114844741,-0.3053590239927876,-0.30414481593114623,0.19332733439468394,-0.37642024808477,-0.31332038377773846,-0.22965389974767447,0.21707946877637763,-0.5374497184231697,-0.1426014420560275,0.1921169012426643,-0.27130780275274774,-0.3739786942089471,-0.3719048016373568,-0.3870249406175773,-0.33897083493842667,-0.24970715353233436,-0.08760546732556244,-0.17988667299217,-0.24600206574776504,-0.30736554360543766,-0.21017854632363275,-0.2691407833167533,-0.31078488815403993,-0.00220523289482158,-0.4400956578563186,-0.24377111038878446,-0.4218323525235474,-0.2411652455373318,-0.056384381391389335,-0.01953515739923503,-0.31552427888419826,0.014169076996302155,0.053165895179895714,0.09984142294863597,-0.09172740081056173,-0.1292052734267006,-0.16282254576906446,-0.3261529099061205,-0.024637097898893293,-0.3518792973590224,0.10144180049232218,-0.3296070995944593,-0.027930837925137637,0.029601124298233517,-0.17894651143857365,-0.22810544405174932,0.16754665416087197,-0.3624972870535549,-0.14616088511771072,-0.21011669842133912,-0.335382613986865,-0.5196167342050182,0.022263711812171523,-0.045315906395803504,-0.027767196060368957,-0.1511361319502524,-0.19589804575127828,-0.3229076039672872,0.28149263770489413,0.07485755078817745,0.07955453012689695,0.10164124381232059,0.02201247384623585,0.006587989952130344,-0.1619000089574777,-0.13712100687175183,0.06958003234774761,-0.4610631463240237,0.3514670973741526,-0.10447437225593217,-0.0017832907237320889,-0.1504155934825885,0.250961890559409,-0.06779090964126916,-0.35443103652751423,0.25184513154991045,-0.2911919637388215,0.4598858316614118,0.013383905386184778,0.0603319873176407
3,0.2086735084210411,0.10233781662353093,0.1101384950478773,0.13294435747829816,-0.07240873133169337,-0.17314300251170764,-0.22702519081538422,0.8263303688584344,-0.03017576606004048,-0.2736758263639985,-0.3112758219645923,-0.15994679524482505,0.03591178450289694,0.5787933730489924,-0.4205672250706865,0.328116371252439,-0.2630970409516209,-0.038036951380039354,0.01115849143324053,0.25889282453165297,-0.2697447872335684,0.01654321379288449,-0.1473225127499392,0.15422767968324572,0.23675536974362377,-0.2270559064541807,-0.08401274099554641,-0.012093340146482685,-0.1534338507679857,-0.12897720682856237,-0.045965055660809696,-0.22704677261429543,-0.1481219661624017,0.03736304788143779,-0.20535405989126684,0.07015499632450675,0.36198569600686364,-0.1896951277959775,0.2725135796194527,-0.00663477186508391,0.2252665087830768,-0.2799787230430576,-0.2239538916774936,-0.014143214419179685,0.13412725416808435,-0.35282452353835975,0.2860508604427016,-0.2937003070645347,-0.00027674000276746295,-0.5030355501400201,0.07810569294962472,-0.08243140945639058,0.17373752761063305,-0.05325982960499337,-0.3078660569433966,-0.2504834747460668,0.16257453351659748,-0.3462516085805142,-0.25186885631879447,-0.2422701766278763,-0.15626545198459663,-0.3989943684633951,0.01477516421539643,0.11375674721283363,-0.24259208832557683,-0.05407867541976735,-0.3137432942481459,-0.23537707838479818,-0.2604351770158936,0.05470170052914323,0.15281602474631256,-0.1778914791923457,-0.11811845156910934,-0.21253368656648244,-0.10209475608041618,-0.006899156258059895,-0.09339358380621378,-0.17166304977274993,-0.1544661188585942,0.03869001352007058,-0.47642112238297335,-0.28947559119785504,0.2927606648602067,0.028626066490144233,-0.22189056191271897,0.024329074067293878,0.02928026953458857,0.07490738168409171,0.0533822685289871,-0.20701122459457974,-0.38009045696987176,-0.3057482168267122,-0.13672533401338036,-0.27549260186107544,0.06470519282616331,-0.3500816348027597,0.050184305529166,-0.015797567454214952,-0.09031699392360475,-0.31928277293213586,0.2049629677544552,-0.36964358500653755,-0.13988020963314196,-0.031050115677735395,-0.25003671919259735,-0.4805478068211822,0.00890036956994343,-0.20134016187581238,0.07072358168431687,-0.006045778149484365,-0.20929765130038988,-0.3919001218026796,0.11181622775592556,0.11238075780486281,0.058996657496968224,0.12634936142296033,0.0403534256433493,0.39905524748408305,-0.0494836653998234,-0.22483436368562346,0.07273656819803619,-0.22325503630264398,0.3371509678682426,-0.11451827734201574,0.1471925007101599,-0.17555876331455855,0.15811623352845317,-0.0869281529365074,-0.1073440464895635,0.4056592207537453,-0.10848952590959202,0.5699340785325304,0.28275838070838594,0.046378702243621006
4,0.015825655485972225,-0.26623955195383764,-0.02921957835038844,0.007143873630283316,0.11315962184937113,-0.18880086566126708,-0.21932888185900382,0.8463916022743843,-0.0214377865005079,-0.21365989645559552,-0.3687810371245546,-0.05903326220892092,-0.009093428710950313,0.15530357536861703,-0.32786743220786163,0.14055935760188817,-0.15419853084410481,-0.05025618434784443,0.046497970022725314,0.251668188522863,-0.3312418393857424,0.05667200659825206,-0.4561037804581883,0.11163640815017098,-0.030504125467294974,-0.11035268652186628,-0.15771065641109405,0.16121614716402666,-0.2091861354238583,-0.2257391073825132,0.35573386827148107,-0.12743842735557726,-0.3551376910630411,0.13209859968830084,-0.2651369997494939,0.005442857813159646,0.5336484057778076,-0.15219928616939107,0.4288380292875066,-0.06563471199429585,0.1765215549608178,-0.325305431848662,-0.2973288537594652,0.11464052663351247,0.08631053646364972,-0.20532649469182299,0.2524404609896945,-0.07665335541053854,0.018195655181956465,-0.22946193804912457,-0.14892283447646013,-0.20392004419256504,0.37669398923112096,-0.19259108926064145,0.13173252851147307,-0.19089847901458268,-0.05645264958617218,-0.25308687930062645,0.04650067690858804,-0.0311829171844989,-0.3138444787405664,-0.30285599356395826,-0.005285287313621864,-0.03650641510703052,-0.2705960986236261,0.3236123052046027,-0.24797416352954457,0.027761282660332315,-0.07633616243957618,0.13134668982509998,0.03549737824889667,-0.17926594603222465,-0.04403646275264036,-0.1223046354823636,-0.02662730212287355,0.08168914188865534,0.18090391761844768,-0.237937025099879,0.09329885201303241,0.21383852230811634,-0.46200085196346025,-0.1993164086089036,0.42461145544585266,0.01704913209767587,-0.026157815507716342,0.0280818657782008,0.05785903775756717,0.19293426213356019,0.19140387191038596,-0.1606436171473258,-0.4650965835375523,-0.2540205299850544,-0.15724628730131526,-0.1617386233873515,0.02836713163755714,-0.3233528203507663,0.06287668630058917,0.04939407094557321,-0.19437803912280835,-0.2388703349437438,0.21533280507131541,-0.1465202822523015,-0.024498793777555906,0.028362309471965223,-0.08849849975870232,-0.4128563939494821,0.031215232931367534,-0.23515491090616272,0.01929643507712344,-0.011787811078795004,-0.08342510667342243,-0.4009483208630589,0.004284314728976935,0.06754058481088147,0.033439820155589106,0.01350142426677959,-0.08495142396417767,0.842709765075754,-0.036943196795782306,-0.09454200635452313,0.06145937174144997,-0.2822001430050263,0.13626630448082608,-0.1408613289921562,0.16881292806868028,-0.20692875944637848,-0.11954508546895153,0.022413108843491614,0.4080289373814042,0.19687124537184597,-0.11966188901139287,0.69219332186873,0.31907804595851297,0.011176077008684664
5,-0.23543941331409773,-0.378972378972379,-0.20778366826942837,-0.16817987761491376,0.14111511350029818,-0.19962163149917772,-0.16694090296281366,0.2712640326578219,0.0033579460715690446,0.029271206690561248,-0.388672487954365,-0.09200912609342242,-0.07445657194895011,-0.1714392609433908,-0.17688569650859642,-0.05243824117745722,0.026209791440187532,-0.011133661626888731,0.1504736613640424,0.11209223451971226,-0.30245408888552183,0.208304915380589,-0.4919250384521978,0.039750446385229295,-0.287455482558011,-0.010026856629121034,-0.21728393875482233,0.20039175608925244,-0.08866172245606996,-0.12870105985209562,0.14138712433597084,0.12186487911425765,-0.4448371742306424,0.11750593921281359,-0.19729724240187949,-0.015593474826782779,0.2918709830112346,-0.1592473767007043,0.4212540897684316,0.05127660848314638,-0.05382161721572941,-0.27850744410554734,-0.2001442315947321,0.2369563342627992,0.1357150958375863,0.03965403270123683,0.2595250059724361,0.29325944646363183,0.1751072367510724,-0.09815301737959342,-0.22064432943536125,-0.17928678110358653,0.23490569906900183,-0.018882616313023234,0.3458186788418469,0.025227799362336097,-0.1927636978512593,-0.09377093813479108,0.2548707987521339,0.12448059855132501,-0.27883246677355067,0.12212389380530966,-0.020854088921159808,-0.17974070524138624,-0.28139543519160315,0.37750308882727046,0.0024393476094884126,0.14329720902612814,0.11540516695040558,0.11973381265904581,0.11572170457831932,-0.12406558423708242,0.0920179590160672,0.15793948891285928,0.1884155771123296,0.06722762610073307,0.6967919031069661,-0.32614634089273914,0.25245053738025375,0.2280181084149485,-0.2752630831611,-0.09587188096330833,0.3114827849932343,0.06687260959105612,0.10240451679628396,-0.046424779409072636,0.00018278555302527166,0.1602180391317778,0.05216468664660558,-0.02730712418145774,-0.39459600691941765,-0.13660405051056482,-0.18792810095512077,-0.07505041424718784,0.01315203375923107,-0.2890530362879865,0.07883716511495359,-0.057443693113673255,-0.16906589299327232,-0.19146590577478037,0.13684142436689417,0.009057270961150554,-0.1434156892105482,0.034273781981491586,0.044844625359323716,-0.3558792804582659,-0.027225412089668583,-0.163900554603311,-0.06683104883674224,0.046880786242421764,-0.04280755235267782,-0.19270923960327122,-0.12483001652312509,0.04518582836725946,0.0015085633152897313,-0.22030268864079788,0.012400549062462556,0.3930834004771159,0.046361344645347795,0.024543730449989077,0.031148533897013234,-0.2883543394199401,-0.054615422264640404,-0.09456859553056095,0.16892339740554863,-0.2190993744869945,-0.318530390434695,0.15425492556991313,0.7673372272296016,0.01785057499448294,-0.11588876638490753,0.6365720836916018,0.07510558800885604,0.054565750232835
6,0.3641977332590139,-0.3695107980822266,-0.24740064932396338,-0.20301693468051787,0.19326863824692023,-0.07987660027302726,-0.13493487330283133,-0.15247120571511877,0.1449498138032628,0.17988849064117865,-0.3696579224279569,-0.08558945511310619,-0.13833493909118502,-0.33471474755614383,-0.00637163402090261,-0.09121775021578266,0.16816116728143324,-0.02681413655123969,0.2506702755151544,-0.05382353826548527,-0.25174130240061315,0.23717226830777016,-0.41350279284384356,0.02594732865349947,-0.40540181830247535,0.15288808974351611,-0.06806247507770952,0.41074774314426865,-0.04330267328864226,0.03759464937618414,0.01576333940091877,0.3133614521352715,-0.3009409805677303,0.06485562021725569,-0.05430565805241664,-0.05078436586014375,0.0504633635832466,-0.018623874419942087,0.2216892728947617,0.04158842643240868,-0.06527780451957832,-0.06969901028197631,-0.0841293734510844,0.32209350236199336,0.0185777475331745,0.36419748170212096,0.044352546729164416,0.6085260389700267,-0.01376781513767817,0.14094999893114432,-0.20139324152504443,-0.11299793358839542,0.08667248662678637,0.06751601853884417,0.45400679309505243,0.2648309145077269,-0.1959279731827666,0.09801794520013755,0.3640002354464655,0.20513689601928217,-0.21420259018964422,0.49545454545454537,-0.026629067391634734,-0.26919907851149333,-0.026419695019308877,0.11883871482010777,0.41963159470509426,0.25909293349168633,0.2839710213363487,0.21187946843317043,0.09371659939391651,0.015376293550646736,0.2770972263250851,0.3723037570842806,0.2603964571910586,0.10759551969345257,0.5797288728720374,-0.2772451552144692,0.373088812572705,0.22820654145291303,0.005379991480365247,0.11204376917316843,0.12882964254939197,0.2088996763754046,0.19666393077582742,-0.026562442792809362,0.011940342747612822,0.11043623356208238,0.052469082117200895,-0.04721280915029593,-0.19687905434625916,-0.009119465898209281,-0.17780708710048884,-0.014601909667387612,-0.0499355292462783,-0.17239426976352237,0.09168155044651352,0.03136703775375818,-0.013492410056767474,-0.07065270257125267,0.08246547430382609,0.0348368791322806,-0.1100573995507861,-0.011763405008165468,0.009856480412933665,-0.1261340894567468,-0.036688448701390035,-0.0811502193039236,-0.1620665055167302,-0.017571452942375946,-0.1568716945894906,0.19201322429093448,-0.25043501147845415,0.005655206983426412,-0.030467063034282805,0.016043236365805,0.11258445833388862,-0.02807400034756777,0.2630683199610989,0.002253639072929362,0.035546100936303955,-0.19671728760018334,-0.1858771994224604,-0.008929011888905382,0.26840892592241883,-0.15612351759078436,-0.23279608981537017,0.16279773716392107,0.6140521228652751,-0.09690312139862207,-0.07166482910694587,0.1746142638769464,-0.09740194777797588,0.051287568799782114
7,0.4419598456780003,-0.38262123976409684,-0.21970163974848975,-0.017219296997296053,0.22738636192842804,0.043702278451985516,0.07323701446906054,-0.3568158623706079,0.1328264390217123,0.3388291517323773,-0.23521755985895992,-0.001948993635750567,-0.24480988266969334,-0.26190270622883505,0.5247816396128191,-0.047284002634388644,0.19115992936992193,-0.0008023788171993307,0.17682506447412089,-0.0916023640614495,0.008640781458193176,0.3007756118451313,-0.149396907633773,-0.10406368851386441,-0.33222730992987815,0.44596320240965204,0.2746280273076239,0.08627150400272539,-0.004847701981395918,0.06708714646283352,0.007528759116856702,0.2322060706484899,-0.08032109587319546,0.09509161272246519,0.04826643015280872,-0.06892722523734315,-0.12985274431057556,0.12222516675782195,0.178885677075061,-0.06187918074990884,0.299876131980412,0.35108676584595705,0.43189922103491885,0.22311016567491676,-0.07673811954179433,0.36746282683317283,-0.08185120807967644,0.3339621577563273,-0.13387297633872985,0.6940293721541719,-0.15639941978116448,0.07379749166274516,0.08532491196822085,0.025269322686061517,0.49004539176005746,0.4218077599874558,-0.16260419859783054,0.4635512494638065,0.27453057860968877,0.11763893596454898,-0.17030022425668145,0.42345132743362823,0.3762010097769371,-0.248280616791942,0.3073385978809784,0.04490613950681247,0.6269025193503582,0.36924732779097375,0.49435214295477975,0.3206365876317809,0.07359764608246261,0.15991699993792716,0.2528571638079316,0.38959063135740607,0.28125966540137776,0.12912659813566169,0.22195824738544534,-0.10895722316137987,0.3393026801811196,0.18595043268936348,0.32556048151712597,0.3539578250682384,-0.04960150607517235,0.24621947631656363,0.3593451528725012,0.007121151100208669,-0.024443862604545827,-0.05160915156963671,0.1433093875563131,0.14007440934619286,0.32788849646821383,0.16324649406205535,-0.20426517056299118,0.21533564955416784,-0.056077833782674925,0.07178595881392545,0.04129203876116292,-0.08886223667655076,0.2081738988846372,-0.029538601212671434,-0.13774701639768433,0.3485858270384153,0.08377006904583649,0.31766296951551454,0.10742462074319654,0.603241840869695,0.011457947032570833,-0.005131763597102185,-0.0821379840558531,0.025368967224642373,0.01623445959809539,0.35966591265007836,-0.3203292927225139,-0.018208079783436745,-0.03885290028692284,0.17629099914515584,0.18619814224982348,-0.2772485267864196,0.23581199534211156,0.09701731484446209,0.016944122570715092,0.5833360013375599,-0.2459865893350953,0.24084652952493715,0.2443108291512798,0.12323455322521296,-0.17837298533680765,0.16656464621324743,0.35621738614800763,-0.2717063482333326,0.44312140144554696,-0.46638841119709573,-0.12276046854542993,0.044327737449608405
8,-0.07548881384089093,-0.3070134498705927,-0.08815189249167805,0.16493524975096074,0.12463239530467984,0.03374144102503462,0.21431831933843573,-0.4644117218253389,0.0955870915795156,0.27706093189964137,0.07783049345566649,0.04298870322646197,-0.2791577030183848,-0.14390690803042946,0.8741582591026159,-0.02703520835804783,0.27272384519193915,0.024475176077573598,0.030462426269693272,-0.1274746886884275,0.4641645981969778,0.14057766428220203,0.005626163684934888,-0.27586396119930945,-0.14177007985488982,0.3133979648516012,0.4223601589261437,-0.03636518480667685,-0.07737763821147246,0.040742724907905016,0.19048503535297237,0.22316788431121487,0.12446392384183984,0.2184287790612835,0.23838024116288994,-0.2484789714875582,-0.2847263825097813,0.3456778289625775,-0.12840284616117675,0.0496981968007228,0.20723183857365646,0.532733126977031,0.5935874175104024,0.13576910914996979,-0.11911080866507895,0.23573402569269122,-0.27774711469548813,0.11758162328974292,0.08447488584474873,0.9563265567883026,-0.1449383069787433,0.061971888618368484,-0.011348922233223941,-0.045845948666122786,0.09436809511297292,0.5459431677613814,-0.15464406846700757,0.5138559491777185,0.18129377832715304,0.2647660653535696,-0.21275416173451797,0.43563958165728056,0.36877121291433784,-0.09327548806941433,0.40895757005644123,0.05700523250186461,0.49835822580407674,0.5255344418052255,0.49528413256620213,0.29473482247445154,0.15897745419794543,0.2287733548518678,0.2885573077398498,0.3724091648542386,0.19117109517784334,0.1331564791275191,-0.03195254873947548,0.016278947337634568,0.18066079928071216,0.11363925437046886,0.49330262057649515,0.4615087320949782,-0.12493987119458208,0.23428949691085618,0.2802128842055671,0.0287225863142093,-0.041536781887433684,0.00990632047749124,0.10225948409316236,0.2478968695940661,0.6104313824419777,0.6168929380073206,-0.10249718085932974,0.701984985057946,-0.10915484702848437,0.6495496918944542,0.12939388181645456,0.0377684740300354,0.3551619755315919,0.12104017379462395,0.05186131504899887,0.513268293199371,0.13426503618667332,0.49483703048448563,0.5448551165572088,1.1475665147532075,-0.02070358955996871,0.026508070487957773,0.15456541463786277,0.16026513212917068,0.20328457831022584,0.4785105272315992,-0.3312667241807893,-0.017269702653231554,-0.06532670748661513,0.20758794811863304,0.1691898663326092,-0.3539978198018863,0.14668509347767666,0.3544617127656956,-0.011896363104142849,1.0023193850072398,-0.1412463597875829,0.4867544768388339,0.15096423949752208,0.4663232477616447,0.1519866688602193,0.06025036491931421,-0.06383420303605314,-0.18328715396120931,0.6556903099350729,-0.6558230629597784,-0.001970396210575584,0.024406481048749026
9,-0.5110768659081718,-0.26615469472612324,-0.02753462376196936,0.1530382809164651,0.1471270471886697,0.04803775085724114,0.11633634462479156,-0.4682606793993293,0.12312773919647188,0.2701314217443247,0.3858018423821744,0.15734197910604927,-0.30726946376486425,-0.1169021786053471,0.6665485275933498,-0.1897209757055376,0.41725158509227783,-0.007987078030029083,-0.10022214845645125,-0.18893426584653666,0.4994139954813038,0.2819008041619744,-0.017495750020237958,-0.3523087508389511,0.09903333554538003,0.21301487135731895,0.1320364934397326,0.1518480667688641,-0.17967677037630916,-0.04287457956622828,0.2948722711343908,0.1267605633802818,0.36506590005812395,0.13443342536437897,0.6033743847367316,-0.2591926427577148,-0.18421383508250305,0.3884738346687115,-0.3830802706394334,0.07038083263937647,-0.22078672237518537,0.4496058670077015,0.7280891030740789,0.058968388574275714,-0.24241805602812755,0.43683150022698125,-0.05483108302921964,-0.0027323104683885263,0.6908814169088141,0.7964257465956949,-0.14668433588223714,0.07928064324733505,-0.14165353269626244,0.2846723188880006,0.05596710001374024,0.3503318988797326,-0.1319997231259085,0.5494485626468992,0.4721290246630173,0.4660615875167904,-0.14647607346029556,0.4693483507642799,0.1777916617416119,0.04831088466259736,0.5545474799485097,0.16154139597911554,0.2898602651379435,0.5311386579572445,0.33554111316839164,0.282970472997536,0.06341242596853895,0.3217050482836898,0.29859273552352866,0.08510271987182415,0.2620835090679039,0.7452838878449575,-0.19035082790891794,0.07243341892990625,0.0778193345661332,0.31483863065711315,0.5022955682122966,0.4543225681779754,0.07200575852271732,0.22416887319799947,0.17962288873266904,-0.03470874675063152,-0.08819649940965198,0.045107319909788876,0.2890278478370528,0.3153550242106841,0.628090312815338,0.820716133131673,0.047644473488123895,0.6604873782161857,-0.07799789004806004,1.0286906830989626,0.13842295268858093,-0.06362439020800977,0.39479546749757605,0.5203138679031158,-0.12489084381771724,0.5119449046895594,0.32488977622493964,0.5038318249863908,0.8393430411884433,1.3488040163316535,-0.04423330221614079,0.08409153284898331,0.3500232028203547,0.9316115556332253,0.3359825470137721,0.43883765442839745,-0.2652619573323195,-0.037510141006011605,-0.03434200017747797,0.23772049154953986,0.1896464410890627,-0.4929617517417887,0.1683749856040539,0.40898623186621036,-0.032724103928268494,1.0750313935163944,-0.0487421383647799,0.5691184450693109,0.1572767730328566,0.6084552753483721,0.4918723564593936,-0.03176984185708612,-0.3361598671726755,0.039599833263859935,0.8766139899546737,-0.6586892137193083,0.27505948160746074,-0.019689262022520228
